id,origen,fuente,no_enviar_email,no_llamar,compra,visitas_total,tiempo_en_site_total,paginas_vistas_visita,ult_actividad,ambito,ocupacion,conociste_google,conociste_revista,conociste_periodico,conociste_youtube,conociste_facebook,conociste_referencias,score_actividad,score_perfil,descarga_lm
660479,Landing Page Submission,Google,No,No,0,1.0,233,1.0,Unreachable,Media and Advertising,Unemployed,No,No,No,No,No,No,13.0,17.0,No
660478,API,Google,No,No,0,4.0,377,1.33,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,15.0,16.0,No
660471,Landing Page Submission,Google,No,No,1,1.0,1013,1.0,Converted to Lead,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,15.0,20.0,No
660458,API,Google,No,No,1,6.0,1137,1.5,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,14.0,18.0,Yes
660447,Landing Page Submission,Google,No,No,1,3.0,1068,3.0,Form Submitted on Website,Travel and Tourism,Unemployed,No,No,No,No,No,No,14.0,16.0,No
660432,Landing Page Submission,Organic Search,No,No,1,4.0,1000,2.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,11.0,18.0,Yes
660424,Landing Page Submission,Google,No,No,1,6.0,1315,6.0,Email Opened,Media and Advertising,Unemployed,No,No,No,No,No,No,15.0,19.0,No
660423,Landing Page Submission,Direct Traffic,No,No,0,5.0,182,5.0,Email Opened,Select,Student,No,No,No,No,No,No,13.0,18.0,No
660410,API,Google,No,No,1,3.0,78,3.0,Unreachable,International Business,Unemployed,No,No,No,No,No,No,16.0,18.0,No
660402,Landing Page Submission,Direct Traffic,No,No,1,7.0,1174,3.5,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,15.0,18.0,Yes
660374,API,Google,No,No,0,3.0,88,1.5,Email Opened,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No
660361,API,Referral Sites,No,No,0,4.0,223,2.0,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,15.0,13.0,No
660339,API,Organic Search,No,No,0,3.0,74,1.5,Email Opened,,,No,No,No,No,No,No,12.0,15.0,No
660333,Landing Page Submission,Organic Search,No,No,1,4.0,16,2.0,Page Visited on Website,E-COMMERCE,Unemployed,No,No,No,No,No,No,15.0,17.0,Yes
660312,Landing Page Submission,Google,No,No,0,4.0,1622,4.0,Unreachable,Operations Management,Unemployed,No,No,No,No,No,No,12.0,18.0,No
660255,API,Google,No,No,0,2.0,310,2.0,Email Link Clicked,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
660236,Landing Page Submission,Google,No,No,1,4.0,25,4.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,14.0,19.0,No
660235,API,Direct Traffic,No,No,0,3.0,342,3.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
660222,Landing Page Submission,Organic Search,Yes,No,0,7.0,38,7.0,Unsubscribed,Retail Management,Unemployed,No,No,No,No,No,No,13.0,18.0,Yes
660194,Landing Page Submission,Direct Traffic,No,No,0,6.0,275,3.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,10.0,18.0,Yes
660174,Landing Page Submission,Direct Traffic,No,No,0,2.0,547,2.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,15.0,20.0,Yes
660153,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
660128,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
660087,API,Chat,No,No,1,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,15.0,16.0,No
660069,Landing Page Submission,Organic Search,No,No,0,6.0,394,2.0,Unreachable,E-COMMERCE,Unemployed,No,No,No,No,No,No,13.0,15.0,Yes
660048,API,Organic Search,No,No,0,7.0,96,2.33,Email Opened,,,No,No,No,No,No,No,13.0,15.0,No
660030,API,Organic Search,No,No,0,2.0,12,2.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
659937,Landing Page Submission,Referral Sites,No,No,0,11.0,685,5.5,Email Opened,Services Excellence,Unemployed,No,No,No,No,No,No,11.0,13.0,Yes
659925,API,Chat,No,No,0,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
659918,API,Organic Search,No,No,1,7.0,1468,3.5,Page Visited on Website,Marketing Management,Unemployed,No,No,No,No,No,No,15.0,18.0,No
659896,API,Chat,No,No,0,0.0,0,0.0,Email Link Clicked,,,No,No,No,No,No,No,15.0,15.0,No
659889,Landing Page Submission,Direct Traffic,No,No,1,4.0,1435,4.0,Email Opened,Operations Management,Working Professional,No,No,No,No,No,No,12.0,18.0,Yes
659875,Landing Page Submission,Google,No,No,1,1.0,157,1.0,Converted to Lead,Hospitality Management,Unemployed,No,No,No,No,No,No,15.0,14.0,No
659853,API,Google,No,No,1,3.0,885,1.5,Had a Phone Conversation,Operations Management,Unemployed,No,No,No,No,No,No,15.0,18.0,No
659833,API,Chat,No,No,0,0.0,0,0.0,View in browser link Clicked,Finance Management,Unemployed,No,No,No,No,No,No,12.0,14.0,No
659830,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
659819,Landing Page Submission,Direct Traffic,No,No,0,1.0,1710,1.0,Converted to Lead,Retail Management,Unemployed,No,No,No,No,No,No,16.0,19.0,Yes
659806,Landing Page Submission,Referral Sites,Yes,No,0,3.0,111,3.0,Email Bounced,International Business,Unemployed,No,No,No,No,No,No,13.0,15.0,Yes
659784,API,Organic Search,No,No,0,6.0,224,6.0,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
659782,Landing Page Submission,Direct Traffic,No,No,0,5.0,224,1.67,Page Visited on Website,Operations Management,,No,No,No,No,No,No,13.0,17.0,Yes
659779,Landing Page Submission,Direct Traffic,No,No,1,2.0,1071,2.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,12.0,17.0,Yes
659727,Landing Page Submission,Google,No,No,1,6.0,595,3.0,Email Opened,"Banking, Investment And Insurance",Working Professional,No,No,No,No,No,No,14.0,20.0,No
659704,API,Chat,No,No,1,0.0,0,0.0,Email Link Clicked,Operations Management,Working Professional,No,No,No,No,No,No,15.0,16.0,No
659700,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
659685,API,Referral Sites,No,No,0,3.0,335,3.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,13.0,No
659676,API,Referral Sites,No,No,0,4.0,75,4.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,13.0,No
659631,Lead Add Form,Reference,No,No,1,,1007,,,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,20.0,No
659630,Landing Page Submission,Organic Search,No,No,0,2.0,1085,2.0,Converted to Lead,Rural and Agribusiness,Unemployed,No,No,No,No,No,No,13.0,14.0,Yes
659614,API,Organic Search,No,No,0,3.0,214,3.0,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
659600,Landing Page Submission,Google,No,No,0,4.0,101,4.0,Email Opened,Finance Management,,No,No,No,No,No,No,15.0,18.0,No
659562,Landing Page Submission,Direct Traffic,No,No,0,4.0,161,2.0,Unreachable,Marketing Management,Unemployed,No,No,No,No,No,No,12.0,17.0,No
659545,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
659523,API,Google,No,No,1,5.0,1110,5.0,Chat Conversation,Human Resource Management,Working Professional,No,No,No,No,No,No,16.0,16.0,No
659507,Landing Page Submission,Direct Traffic,No,No,1,5.0,1563,5.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,15.0,20.0,Yes
659480,API,Chat,No,No,1,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
659469,Landing Page Submission,Direct Traffic,No,No,0,2.0,638,2.0,Page Visited on Website,Healthcare Management,Unemployed,No,No,No,No,No,No,14.0,15.0,Yes
659463,API,Google,No,No,1,5.0,1196,5.0,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
659447,Landing Page Submission,Organic Search,No,No,0,6.0,1485,6.0,Email Opened,Supply Chain Management,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes
659438,API,Google,No,No,0,9.0,125,3.0,Page Visited on Website,,,No,No,No,No,No,No,14.0,15.0,No
659437,API,Google,No,No,1,3.0,165,3.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
659411,Landing Page Submission,Google,No,No,0,6.0,398,3.0,Chat Conversation,E-COMMERCE,,No,No,No,No,No,No,15.0,15.0,Yes
659407,API,Organic Search,No,No,0,3.0,570,3.0,Converted to Lead,,,No,No,No,No,No,No,13.0,15.0,No
659371,Landing Page Submission,Google,No,No,1,4.0,1190,4.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,13.0,18.0,No
659366,API,Direct Traffic,No,No,0,5.0,1566,5.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,11.0,15.0,No
659364,API,Google,No,No,1,5.0,727,5.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
659293,API,Referral Sites,No,No,0,10.0,275,3.33,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,15.0,13.0,No
659287,API,Organic Search,No,No,0,3.0,273,3.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
659283,Lead Add Form,Reference,No,No,1,,1111,,,Marketing Management,Working Professional,No,No,No,No,No,No,14.0,18.0,No
659281,Landing Page Submission,Google,No,No,0,8.0,277,4.0,Email Opened,Finance Management,,No,No,No,No,No,No,14.0,18.0,No
659248,API,Google,No,No,0,2.0,39,1.0,Converted to Lead,,,No,No,No,No,No,No,16.0,15.0,No
659244,Landing Page Submission,Google,No,No,0,4.0,1638,4.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,12.0,18.0,Yes
659203,API,Google,No,No,1,2.0,160,1.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,16.0,15.0,No
659191,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,Marketing Management,Businessman,No,No,No,No,No,No,15.0,19.0,No
659182,API,Google,No,No,0,1.0,263,1.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,14.0,14.0,No
659170,API,Google,No,No,0,2.0,1218,2.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,11.0,15.0,No
659146,Landing Page Submission,Google,No,No,1,5.0,1091,5.0,Unreachable,Finance Management,Unemployed,No,No,No,No,No,No,13.0,20.0,No
659142,Landing Page Submission,Direct Traffic,No,No,0,4.0,291,4.0,Chat Conversation,Supply Chain Management,,No,No,No,No,No,No,14.0,16.0,Yes
659141,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,Hospitality Management,Unemployed,No,No,No,No,No,No,15.0,16.0,No
659138,API,Google,Yes,No,0,1.0,1759,1.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,16.0,15.0,No
659132,Landing Page Submission,Referral Sites,No,No,0,7.0,41,3.5,Email Opened,Services Excellence,,No,No,No,No,No,No,14.0,14.0,Yes
659123,Landing Page Submission,Google,No,No,0,5.0,386,5.0,Email Opened,Business Administration,Unemployed,No,No,No,No,No,No,14.0,17.0,No
659117,API,Referral Sites,No,No,0,6.0,216,2.0,Page Visited on Website,,,No,No,No,No,No,No,14.0,13.0,No
659106,Landing Page Submission,Google,No,No,1,5.0,1603,5.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,14.0,20.0,No
659094,Landing Page Submission,google,No,No,0,7.0,106,3.5,Page Visited on Website,Select,,No,No,No,No,No,No,14.0,13.0,No
659079,API,Google,No,No,0,2.0,73,2.0,Unreachable,Select,Unemployed,No,No,No,No,No,No,12.0,15.0,No
659076,API,Google,No,No,0,2.0,77,2.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No
659074,Landing Page Submission,Direct Traffic,No,No,0,3.0,718,3.0,Unreachable,Hospitality Management,,No,No,No,No,No,No,13.0,14.0,Yes
659069,Landing Page Submission,Google,No,No,0,5.0,432,1.67,Chat Conversation,Marketing Management,,No,No,No,No,No,No,14.0,18.0,No
659057,Landing Page Submission,Google,No,No,0,5.0,232,2.5,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,13.0,16.0,No
659038,Landing Page Submission,Organic Search,No,No,1,5.0,614,5.0,Unreachable,Finance Management,Unemployed,No,No,No,No,No,No,15.0,19.0,Yes
659036,Landing Page Submission,Direct Traffic,No,No,1,1.0,1808,1.0,Converted to Lead,IT Projects Management,,No,No,No,No,No,No,14.0,14.0,Yes
659016,Landing Page Submission,Direct Traffic,Yes,No,0,2.0,234,1.0,Email Bounced,Finance Management,Unemployed,No,No,No,No,No,No,15.0,18.0,Yes
659013,Landing Page Submission,Direct Traffic,No,No,0,3.0,245,3.0,Unreachable,Finance Management,Unemployed,No,No,No,No,No,No,13.0,17.0,Yes
658983,Landing Page Submission,Organic Search,No,No,1,8.0,1268,4.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,16.0,18.0,Yes
658932,API,Referral Sites,No,No,0,4.0,174,2.0,Email Link Clicked,Select,Unemployed,No,No,No,No,No,No,13.0,13.0,No
658917,Landing Page Submission,Direct Traffic,No,No,0,4.0,1149,2.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,18.0,No
658888,Landing Page Submission,Direct Traffic,No,No,0,2.0,333,2.0,Email Opened,E-COMMERCE,,No,No,No,No,No,No,14.0,13.0,Yes
658856,API,Organic Search,No,No,0,7.0,471,2.33,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
658831,API,Chat,No,No,1,10.0,1815,3.33,Had a Phone Conversation,Operations Management,Unemployed,No,No,No,No,No,No,15.0,17.0,Yes
658828,Landing Page Submission,Direct Traffic,No,No,0,2.0,47,2.0,Email Link Clicked,Business Administration,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes
658826,Landing Page Submission,Direct Traffic,No,No,1,3.0,1528,1.5,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes
658779,API,Organic Search,No,No,0,10.0,194,5.0,Email Link Clicked,Media and Advertising,Unemployed,No,No,No,No,No,No,13.0,15.0,No
658744,Landing Page Submission,Direct Traffic,No,No,0,3.0,381,1.5,Page Visited on Website,Operations Management,Unemployed,No,No,No,No,No,No,13.0,17.0,Yes
658689,Landing Page Submission,Google,No,No,0,5.0,65,5.0,Unreachable,Human Resource Management,Unemployed,No,No,No,No,No,No,13.0,17.0,No
658686,API,Organic Search,No,No,0,7.0,1334,7.0,Email Opened,Business Administration,,No,No,No,No,No,No,14.0,16.0,Yes
658656,API,Google,No,No,0,1.0,250,1.0,Email Bounced,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No
658652,Landing Page Submission,Direct Traffic,No,No,0,2.0,383,2.0,Email Link Clicked,Business Administration,,No,No,No,No,No,No,14.0,16.0,Yes
658634,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,"Banking, Investment And Insurance",Working Professional,No,No,No,No,No,No,14.0,19.0,No
658620,API,Chat,No,No,0,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
658612,API,Google,No,No,0,1.0,164,1.0,Converted to Lead,,,No,No,No,No,No,No,14.0,15.0,No
658597,API,Organic Search,No,No,0,5.0,1841,5.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
658571,API,Organic Search,No,No,1,8.0,877,2.67,Email Link Clicked,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,14.0,16.0,No
658561,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Unreachable,Retail Management,Unemployed,No,No,No,No,No,No,14.0,20.0,No
658531,API,Organic Search,No,No,1,6.0,385,6.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,15.0,16.0,No
658527,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
658481,API,Google,No,No,0,12.0,68,1.71,Page Visited on Website,Media and Advertising,,No,No,No,No,No,No,16.0,15.0,No
658470,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
658458,Landing Page Submission,Google,No,No,0,3.0,192,3.0,Email Opened,International Business,,No,No,No,No,No,No,14.0,17.0,No
658448,Landing Page Submission,Google,No,No,0,5.0,309,5.0,Chat Conversation,Finance Management,,No,No,No,No,No,No,15.0,18.0,No
658430,API,Organic Search,No,No,0,4.0,342,4.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
658421,API,Google,No,No,0,2.0,78,1.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
658398,API,Organic Search,No,No,1,5.0,1234,1.67,Email Opened,International Business,Student,No,No,No,No,No,No,16.0,17.0,No
658353,API,Organic Search,No,No,0,8.0,14,8.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
658321,API,Referral Sites,No,No,1,3.0,1299,3.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,16.0,13.0,No
658309,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,14.0,19.0,No
658299,API,Referral Sites,No,No,0,2.0,457,2.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,13.0,13.0,No
658288,API,Organic Search,No,No,0,5.0,358,5.0,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
658281,Landing Page Submission,Direct Traffic,No,No,0,3.0,481,3.0,Email Link Clicked,"Banking, Investment And Insurance",,No,No,No,No,No,No,13.0,16.0,Yes
658277,Landing Page Submission,Direct Traffic,No,No,1,1.0,1106,1.0,Converted to Lead,Finance Management,Unemployed,No,No,No,No,No,No,15.0,16.0,Yes
658264,Landing Page Submission,Direct Traffic,No,No,1,9.0,1953,1.8,Email Opened,Supply Chain Management,Unemployed,No,No,No,No,No,No,15.0,17.0,No
658258,Lead Add Form,Reference,No,No,1,,1070,,,Marketing Management,Unemployed,No,No,No,No,No,No,14.0,18.0,No
658243,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,17.0,No
658231,Landing Page Submission,Direct Traffic,No,No,1,2.0,1587,2.0,Email Opened,E-COMMERCE,Unemployed,No,No,No,No,No,No,14.0,13.0,No
658222,Landing Page Submission,Direct Traffic,No,No,1,2.0,1509,2.0,Email Opened,E-Business,Unemployed,No,No,No,No,No,No,10.0,18.0,Yes
658220,API,Organic Search,No,No,0,4.0,331,4.0,Unreachable,Select,Unemployed,No,No,No,No,No,No,12.0,15.0,No
658203,API,Organic Search,No,No,1,3.0,1407,1.5,Converted to Lead,Human Resource Management,Unemployed,No,No,No,No,No,No,15.0,15.0,No
658178,API,Organic Search,No,No,0,1.0,100,1.0,Converted to Lead,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
658142,Landing Page Submission,Direct Traffic,No,No,1,9.0,1164,4.5,Email Opened,Healthcare Management,Unemployed,No,No,No,No,No,No,16.0,15.0,Yes
658089,Landing Page Submission,Direct Traffic,No,No,1,1.0,1362,1.0,Unreachable,Rural and Agribusiness,Unemployed,No,No,No,No,No,No,14.0,14.0,No
658081,API,Direct Traffic,No,No,0,7.0,1051,3.5,Chat Conversation,,,No,No,No,No,No,No,14.0,15.0,No
658070,Landing Page Submission,Direct Traffic,No,No,0,7.0,74,2.33,Unreachable,Finance Management,Unemployed,No,No,No,No,No,No,13.0,18.0,No
658048,Landing Page Submission,Direct Traffic,No,No,1,3.0,1183,3.0,Email Opened,Finance Management,,No,No,No,No,No,No,13.0,17.0,Yes
658029,Landing Page Submission,Direct Traffic,No,No,0,3.0,66,3.0,Email Opened,IT Projects Management,Unemployed,No,No,No,No,No,No,14.0,14.0,Yes
658023,API,Chat,No,No,0,3.0,1122,1.5,Email Opened,,,No,No,No,No,No,No,15.0,15.0,No
657990,API,Chat,No,No,0,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
657971,Landing Page Submission,google,No,No,0,5.0,306,5.0,Page Visited on Website,Select,,No,No,No,No,No,No,14.0,13.0,No
657968,Landing Page Submission,Direct Traffic,No,No,1,7.0,116,7.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,15.0,18.0,Yes
657951,Landing Page Submission,Direct Traffic,No,No,0,2.0,1054,2.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,18.0,Yes
657941,API,Organic Search,No,No,1,3.0,195,3.0,Converted to Lead,Operations Management,Unemployed,No,No,No,No,No,No,15.0,15.0,No
657902,API,Chat,No,No,0,7.0,1130,2.33,Page Visited on Website,Human Resource Management,Unemployed,No,No,No,No,No,No,15.0,16.0,Yes
657887,API,Organic Search,No,No,0,5.0,1117,5.0,Email Opened,,,No,No,No,No,No,No,15.0,15.0,No
657882,API,Referral Sites,No,No,0,14.0,354,14.0,Unreachable,Select,Unemployed,No,No,No,No,No,No,14.0,13.0,No
657879,API,Google,No,No,0,3.0,217,3.0,Unreachable,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No
657828,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
657823,API,Direct Traffic,No,No,1,5.0,1837,2.5,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,14.0,17.0,No
657777,Landing Page Submission,Direct Traffic,No,No,0,1.0,1226,1.0,Converted to Lead,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,17.0,Yes
657741,API,Organic Search,No,No,1,2.0,631,1.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,16.0,15.0,No
657731,Landing Page Submission,Direct Traffic,No,No,1,1.0,891,1.0,Converted to Lead,Operations Management,Student,No,No,No,No,No,No,15.0,19.0,Yes
657717,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
657697,Landing Page Submission,Google,No,No,0,2.0,453,2.0,Email Link Clicked,Services Excellence,,No,No,No,No,No,No,12.0,15.0,No
657691,API,Referral Sites,No,No,0,3.0,60,1.5,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,14.0,13.0,No
657676,API,Organic Search,No,No,0,9.0,96,4.5,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No
657655,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,15.0,15.0,No
657644,API,Referral Sites,No,No,1,11.0,825,11.0,Chat Conversation,Finance Management,Working Professional,No,No,No,No,No,No,17.0,15.0,No
657643,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
657590,Lead Add Form,Reference,No,No,1,,1262,,,Operations Management,Unemployed,No,No,No,No,No,No,14.0,19.0,No
657572,Landing Page Submission,Referral Sites,No,No,1,6.0,104,3.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,15.0,15.0,Yes
657510,API,Google,No,No,0,3.0,331,3.0,Email Opened,,,No,No,No,No,No,No,13.0,15.0,No
657502,Landing Page Submission,Google,No,No,0,5.0,294,2.5,Email Opened,Healthcare Management,Unemployed,No,No,No,No,No,No,12.0,15.0,No
657480,API,Google,No,No,0,2.0,172,2.0,Chat Conversation,,,No,No,No,No,No,No,11.0,15.0,No
657477,Landing Page Submission,Google,No,No,1,4.0,228,4.0,Email Opened,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,14.0,19.0,No
657452,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,15.0,15.0,No
657436,API,Referral Sites,No,No,0,4.0,436,4.0,Email Link Clicked,,,No,No,No,No,No,No,12.0,13.0,No
657390,Landing Page Submission,Google,No,No,0,4.0,294,4.0,Email Opened,E-Business,Unemployed,No,No,No,No,No,No,13.0,18.0,No
657388,API,Organic Search,No,No,0,2.0,1528,1.0,Chat Conversation,,,No,No,No,No,No,No,15.0,15.0,No
657385,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,14.0,15.0,No
657356,API,Google,No,No,0,3.0,389,3.0,Email Opened,,,No,No,No,No,No,No,12.0,15.0,No
657327,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
657318,API,Google,No,No,0,4.0,97,4.0,Chat Conversation,,,No,No,No,No,No,No,15.0,15.0,No
657316,Landing Page Submission,Direct Traffic,No,No,0,13.0,194,13.0,Email Opened,Marketing Management,,No,No,No,No,No,No,15.0,18.0,Yes
657313,Landing Page Submission,Direct Traffic,No,No,1,2.0,526,2.0,Form Submitted on Website,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,18.0,No
657311,API,Google,No,No,0,10.0,11,10.0,View in browser link Clicked,,,No,No,No,No,No,No,8.0,15.0,No
657302,API,Organic Search,No,No,0,5.0,297,2.5,Email Link Clicked,,,No,No,No,No,No,No,14.0,15.0,No
657295,Landing Page Submission,Direct Traffic,No,No,0,4.0,174,4.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,13.0,18.0,No
657267,Landing Page Submission,Organic Search,No,No,0,4.0,12,4.0,Page Visited on Website,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,14.0,16.0,Yes
657261,Landing Page Submission,Direct Traffic,No,No,1,5.0,254,1.25,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,12.0,18.0,Yes
